X	Y	Z
16.6667	0	5
16.6667	0.8	5
16.6667	1.6	5
16.6667	2.4	5
16.6667	3.2	5
16.6667	4	5
16.6667	4.8	5
16.6667	5.6	5
16.6667	6.4	5
16.6667	7.2	5
16.6667	8	5
16.6667	8.8	5
16.6667	9.6	5
16.6667	10.4	5
16.6667	11.2	5
16.6667	12	5
16.6667	12.8	5
16.6667	13.6	5
16.6667	14.4	5
16.6667	15.2	5
16.6667	16	5
16.6667	16.8	5
16.6667	17.6	5
16.6667	18.4	5
16.6667	19.2	5
16.6667	20	5
16.6667	20.8	5
16.6667	21.6	5
16.6667	22.4	5
16.6667	23.2	5
16.6667	24	5
16.6667	24.8	5
16.6667	25.6	5
16.6667	26.4	5
16.6667	27.2	5
16.6667	28	5
16.6667	28.8	5
16.6667	29.6	5
16.6667	30.4	5
16.6667	31.2	5
16.6667	32	5
16.6667	32.8	5
16.6667	33.6	5
16.6667	34.4	5
16.6667	35.2	5
16.6667	36	5
16.6667	36.8	5
16.6667	37.6	5
16.6667	38.4	5
16.6667	39.2	5
16.6667	40	5
16.6667	40.8	5
16.6667	40.8	5
16.6667	40	5
16.6667	39.2	5
16.6667	38.4	5
16.6667	37.6	5
16.6667	36.8	5
16.6667	36	5
16.6667	35.2	5
16.6667	34.4	5
16.6667	33.6	5
16.6667	32.8	5
16.6667	32	5
16.6667	31.2	5
16.6667	30.4	5
16.6667	29.6	5
16.6667	28.8	5
16.6667	28	5
16.6667	27.2	5
16.6667	26.4	5
16.6667	25.6	5
16.6667	24.8	5
16.6667	24	5
16.6667	23.2	5
16.6667	22.4	5
16.6667	21.6	5
16.6667	20.8	5
16.6667	20	5
16.6667	19.2	5
16.6667	18.4	5
16.6667	17.6	5
16.6667	16.8	5
16.6667	16	5
16.6667	15.2	5
16.6667	14.4	5
16.6667	13.6	5
16.6667	12.8	5
16.6667	12	5
16.6667	11.2	5
16.6667	10.4	5
16.6667	9.6	5
16.6667	8.8	5
16.6667	8	5
16.6667	7.2	5
16.6667	6.4	5
16.6667	5.6	5
16.6667	4.8	5
16.6667	4	5
16.6667	3.2	5
16.6667	2.4	5
16.6667	1.6	5
