X	Y	Z
15	13.6	5
15	12.8	5
15	12	5
15	11.2	5
15	10.4	5
15	9.60002	5
15	8.80002	5
15	8.00002	5
15	7.20002	5
15	6.40002	5
15	5.60002	5
15	4.80002	5
15	4.00002	5
15	3.20002	5
15	2.40002	5
15	1.60002	5
15	0.80002	5
15	2.01583e-05	5
15	-0.79998	5
15.5	0	5
16	0	5
16.5	0	5
17	0	5
17.5	0	5
18	0	5
18.5	0	5
19	0	5
19.5	0	5
20	0	5
20	0.8	5
20	1.6	5
20	2.4	5
20	3.2	5
20	4	5
20	4.8	5
20	5.6	5
20	6.4	5
20	7.2	5
20	8	5
20	8.8	5
20	9.6	5
20	10.4	5
20	11.2	5
20	12	5
20	12.8	5
20	13.6	5
20	14.4	5
20	15.2	5
20	16	5
20	16.8	5
20	17.6	5
20	18.4	5
20	19.2	5
20	20	5
20	20.8	5
20	21.6	5
20	22.4	5
20	23.2	5
20	24	5
20	24.8	5
20	25.6	5
20	26.4	5
20	27.2	5
20	28	5
20	28.8	5
20	29.6	5
20	30.4	5
20	31.2	5
20	32	5
20	32.8	5
20	33.6	5
20	34.4	5
20	35.2	5
20	36	5
20	36.8	5
20	37.6	5
20	38.4	5
20	39.2	5
20	40	5
20	40.8	5
20.5	40	5
21	40	5
21.5	40	5
22	40	5
22.5	40	5
23	40	5
23.5	40	5
24	40	5
24.5	40	5
25	40	5
25	39.2	5
25	38.4	5
25	37.6	5
25	36.8	5
25	36	5
25	35.2	5
25	34.4	5
25	33.6	5
25	32.8	5
25	32	5
25	31.2	5
25	30.4	5
25	29.6	5
25	28.8	5
25	28	5
25	27.2	5
25	26.4	5
25	25.6	5
25	24.8	5
25	24	5
25	23.2	5
25	22.4	5
25	21.6	5
25	20.8	5
25	20	5
25	19.2	5
25	18.4	5
25	17.6	5
25	16.8	5
25	16	5
25	15.2	5
25	14.4	5
25	13.6	5
25	12.8	5
25	12	5
25	11.2	5
25	10.4	5
25	9.60002	5
25	8.80002	5
25	8.00002	5
25	7.20002	5
25	6.40002	5
25	5.60002	5
25	4.80002	5
25	4.00002	5
25	3.20002	5
25	2.40002	5
25	1.60002	5
25	0.80002	5
25	2.01583e-05	5
25	-0.79998	5
25.5	0	5
26	0	5
26.5	0	5
27	0	5
27.5	0	5
28	0	5
28.5	0	5
29	0	5
29.5	0	5
30	0	5
30	0.8	5
30	1.6	5
30	2.4	5
30	3.2	5
30	4	5
30	4.8	5
30	5.6	5
30	6.4	5
30	7.2	5
30	8	5
30	8.8	5
30	9.6	5
30	10.4	5
30	11.2	5
30	12	5
30	12.8	5
30	13.6	5
30	14.4	5
30	15.2	5
30	16	5
30	16.8	5
30	17.6	5
30	18.4	5
30	19.2	5
30	20	5
30	20.8	5
30	21.6	5
30	22.4	5
30	23.2	5
30	24	5
30	24.8	5
30	25.6	5
30	26.4	5
30	27.2	5
30	28	5
30	28.8	5
30	29.6	5
30	30.4	5
30	31.2	5
30	32	5
30	32.8	5
30	33.6	5
30	34.4	5
30	35.2	5
30	36	5
30	36.8	5
30	37.6	5
30	38.4	5
30	39.2	5
30	40	5
30	40.8	5
30.5	40	5
31	40	5
31.5	40	5
32	40	5
32.5	40	5
33	40	5
33.5	40	5
34	40	5
34.5	40	5
35	40	5
35	39.2	5
35	38.4	5
35	37.6	5
35	36.8	5
35	36	5
35	35.2	5
35	34.4	5
35	33.6	5
35	32.8	5
35	32	5
35	31.2	5
35	30.4	5
35	29.6	5
35	28.8	5
35	28	5
35	27.2	5
35	26.4	5
35	25.6	5
35	24.8	5
35	24	5
35	23.2	5
35	22.4	5
35	21.6	5
35	20.8	5
35	20	5
35	19.2	5
35	18.4	5
35	17.6	5
35	16.8	5
35	16	5
35	15.2	5
35	14.4	5
35	13.6	5
35	12.8	5
35	12	5
35	11.2	5
35	10.4	5
35	9.60002	5
35	8.80002	5
35	8.00002	5
35	7.20002	5
35	6.40002	5
35	5.60002	5
35	4.80002	5
35	4.00002	5
35	3.20002	5
35	2.40002	5
35	1.60002	5
35	0.80002	5
35	2.01583e-05	5
35	-0.79998	5
35.5	0	5
36	0	5
36.5	0	5
37	0	5
37.5	0	5
38	0	5
38.5	0	5
39	0	5
39.5	0	5
40	0	5
40	0.8	5
40	1.6	5
40	2.4	5
40	3.2	5
40	4	5
40	4.8	5
40	5.6	5
40	6.4	5
40	7.2	5
40	8	5
40	8.8	5
40	9.6	5
40	10.4	5
40	11.2	5
40	12	5
40	12.8	5
40	13.6	5
40	14.4	5
40	15.2	5
40	16	5
40	16.8	5
40	17.6	5
40	18.4	5
40	19.2	5
40	20	5
40	20.8	5
40	21.6	5
40	22.4	5
40	23.2	5
40	24	5
40	24.8	5
40	25.6	5
40	26.4	5
40	27.2	5
40	28	5
40	28.8	5
40	29.6	5
40	30.4	5
40	31.2	5
40	32	5
40	32.8	5
40	33.6	5
40	34.4	5
40	35.2	5
40	36	5
40	36.8	5
40	37.6	5
40	38.4	5
40	39.2	5
40	40	5
40	40.8	5
40.5	40	5
41	40	5
41.5	40	5
42	40	5
42.5	40	5
43	40	5
43.5	40	5
44	40	5
44.5	40	5
45	40	5
45	39.2	5
45	38.4	5
45	37.6	5
45	36.8	5
45	36	5
45	35.2	5
45	34.4	5
45	33.6	5
45	32.8	5
45	32	5
45	31.2	5
45	30.4	5
45	29.6	5
45	28.8	5
45	28	5
45	27.2	5
45	26.4	5
45	25.6	5
45	24.8	5
45	24	5
45	23.2	5
45	22.4	5
45	21.6	5
45	20.8	5
45	20	5
45	19.2	5
45	18.4	5
45	17.6	5
45	16.8	5
45	16	5
45	15.2	5
45	14.4	5
45	13.6	5
45	12.8	5
45	12	5
45	11.2	5
45	10.4	5
45	9.60002	5
45	8.80002	5
45	8.00002	5
45	7.20002	5
45	6.40002	5
45	5.60002	5
45	4.80002	5
45	4.00002	5
45	3.20002	5
45	2.40002	5
45	1.60002	5
45	0.80002	5
45	2.01583e-05	5
45	-0.79998	5
45.5	0	5
46	0	5
46.5	0	5
47	0	5
47.5	0	5
48	0	5
48.5	0	5
49	0	5
49.5	0	5
50	0	5
50	0.8	5
50	1.6	5
50	2.4	5
50	3.2	5
50	4	5
50	4.8	5
50	5.6	5
50	6.4	5
50	7.2	5
50	8	5
50	8.8	5
50	9.6	5
50	10.4	5
50	11.2	5
50	12	5
50	12.8	5
50	13.6	5
50	14.4	5
50	15.2	5
50	16	5
50	16.8	5
50	17.6	5
50	18.4	5
50	19.2	5
50	20	5
50	20.8	5
50	21.6	5
50	22.4	5
50	23.2	5
50	24	5
50	24.8	5
50	25.6	5
50	26.4	5
50	27.2	5
50	28	5
50	28.8	5
50	29.6	5
50	30.4	5
50	31.2	5
50	32	5
50	32.8	5
50	33.6	5
50	34.4	5
50	35.2	5
50	36	5
50	36.8	5
50	37.6	5
50	38.4	5
50	39.2	5
50	40	5
50	40.8	5
