X	Y	Z
50	0	5
50	0.8	5
50	1.6	5
50	2.4	5
50	3.2	5
50	4	5
50	4.8	5
50	5.6	5
50	6.4	5
50	7.2	5
50	8	5
50	8.8	5
50	9.6	5
50	10.4	5
50	11.2	5
50	12	5
50	12.8	5
50	13.6	5
50	14.4	5
50	15.2	5
50	16	5
50	16.8	5
50	17.6	5
50	18.4	5
50	19.2	5
50	20	5
50	20.8	5
50	21.6	5
50	22.4	5
50	23.2	5
50	24	5
50	24.8	5
50	25.6	5
50	26.4	5
50	27.2	5
50	28	5
50	28.8	5
50	29.6	5
50	30.4	5
50	31.2	5
50	32	5
50	32.8	5
50	33.6	5
50	34.4	5
50	35.2	5
50	36	5
50	36.8	5
50	37.6	5
50	38.4	5
50	39.2	5
50	40	5
50	40.8	5
50	40.8	5
50	40	5
50	39.2	5
50	38.4	5
50	37.6	5
50	36.8	5
50	36	5
50	35.2	5
50	34.4	5
50	33.6	5
50	32.8	5
50	32	5
50	31.2	5
50	30.4	5
50	29.6	5
50	28.8	5
50	28	5
50	27.2	5
50	26.4	5
50	25.6	5
50	24.8	5
50	24	5
50	23.2	5
50	22.4	5
50	21.6	5
50	20.8	5
50	20	5
50	19.2	5
50	18.4	5
50	17.6	5
50	16.8	5
50	16	5
50	15.2	5
50	14.4	5
50	13.6	5
50	12.8	5
50	12	5
50	11.2	5
50	10.4	5
50	9.6	5
50	8.8	5
50	8	5
50	7.2	5
50	6.4	5
50	5.6	5
50	4.8	5
50	4	5
50	3.2	5
50	2.4	5
50	1.6	5
